Survived,PassengerId,Pclass_age,Relatives_age,Weight_age
0,1,0.23065096084009273,0.07688365361336424,0.07688365361336424
1,2,0.0,0.0,0.0
1,3,0.13200755450070012,0.0,0.04400251816690004
1,4,0.002808548627155072,0.002808548627155072,0.002808548627155072
0,5,0.008425645881465216,0.0,0.002808548627155072
0,6,0.07498447410474662,0.0,0.024994824701582208
0,7,0.07688365361336424,0.0,0.07688365361336424
0,8,0.9990695674245769,1.3320927565661025,0.3330231891415256
1,9,0.11131960052591172,0.07421306701727448,0.03710653350863724
1,10,0.329459577177456,0.164729788588728,0.164729788588728
1,11,0.9095856735118956,0.6063904490079304,0.3031952245039652
1,12,0.11750309741540454,0.0,0.11750309741540454
0,13,0.2888787663804119,0.0,0.09629292212680396
0,14,0.0009373535308826453,0.0018747070617652906,0.00031245117696088176
0,15,0.494189365766184,0.0,0.164729788588728
1,16,0.17270874720654206,0.0,0.08635437360327103
0,17,0.9990695674245769,1.665115945707628,0.3330231891415256
1,18,0.049989649403164416,0.0,0.024994824701582208
0,19,0.04558757934571356,0.01519585978190452,0.01519585978190452
1,20,0.07498447410474662,0.0,0.024994824701582208
0,21,0.005617097254310144,0.0,0.002808548627155072
1,22,0.00997504161463536,0.0,0.00498752080731768
1,23,0.45711366389359254,0.0,0.15237122129786418
1,24,0.03076676552365587,0.0,0.03076676552365587
0,25,0.735481194032978,0.9806415920439706,0.24516039801099265
1,26,0.0,0.0,0.0
0,27,0.07498447410474662,0.0,0.024994824701582208
0,28,0.10668185843431743,0.5334092921715872,0.10668185843431743
1,29,0.07498447410474662,0.0,0.024994824701582208
0,30,0.07498447410474662,0.0,0.024994824701582208
0,31,0.0012492190754190835,0.0,0.0012492190754190835
1,32,0.024994824701582208,0.024994824701582208,0.024994824701582208
1,33,0.07498447410474662,0.0,0.024994824701582208
0,34,0.4345909235162637,0.0,0.21729546175813186
0,35,0.03076676552365587,0.03076676552365587,0.03076676552365587
0,36,0.00498752080731768,0.00498752080731768,0.00498752080731768
1,37,0.07498447410474662,0.0,0.024994824701582208
0,38,0.2590631208098131,0.0,0.08635437360327103
0,39,0.35250929224621363,0.2350061948308091,0.11750309741540454
1,40,0.494189365766184,0.164729788588728,0.164729788588728
0,41,0.0037476572262572505,0.0012492190754190835,0.0012492190754190835
0,42,0.07421306701727448,0.03710653350863724,0.03710653350863724
0,43,0.07498447410474662,0.0,0.024994824701582208
1,44,0.6361184976193037,0.9541777464289556,0.31805924880965186
1,45,0.3200455753029523,0.0,0.10668185843431743
0,46,0.07498447410474662,0.0,0.024994824701582208
0,47,0.07498447410474662,0.024994824701582208,0.024994824701582208
1,48,0.07498447410474662,0.0,0.024994824701582208
0,49,0.07498447410474662,0.049989649403164416,0.024994824701582208
0,50,0.35250929224621363,0.11750309741540454,0.11750309741540454
0,51,0.7782397465297444,1.2970662442162406,0.2594132488432481
0,52,0.2590631208098131,0.0,0.08635437360327103
1,53,0.03710653350863724,0.03710653350863724,0.03710653350863724
1,54,0.049989649403164416,0.024994824701582208,0.024994824701582208
0,55,0.20372645287058067,0.20372645287058067,0.20372645287058067
1,56,0.024994824701582208,0.0,0.024994824701582208
1,57,0.17270874720654206,0.0,0.08635437360327103
0,58,0.0834273885805793,0.0,0.027809129526859766
1,59,0.5769041414249265,0.8653562121373898,0.28845207071246326
0,60,0.611179358611742,1.4260851700940647,0.20372645287058067
0,61,0.23065096084009273,0.0,0.07688365361336424
1,62,0.0,0.0,0.0
0,63,0.01519585978190452,0.01519585978190452,0.01519585978190452
0,64,0.9095856735118956,1.515976122519826,0.3031952245039652
